 Ngrid    =         512 Npart    =    16777216 Nthreads =          32
  Step   Tot/min      Force       Move          Density      IO         Bias       BDM        Analysis
  123   3.0491E-02   2.5194E-02   2.4427E-03   2.8468E-03    0.000        0.000        0.000        0.000    
  124   7.8900E-02   2.4540E-02   2.3855E-03   8.3308E-03   2.4613E-02    0.000        0.000       3.7576E-02
  125   2.9199E-02   2.4668E-02   2.1108E-03   2.4132E-03    0.000        0.000        0.000        0.000    
  126   2.9637E-02   2.4398E-02   2.6354E-03   2.5960E-03    0.000        0.000        0.000        0.000    
  127   3.0037E-02   2.5136E-02   1.9155E-03   2.9798E-03    0.000        0.000        0.000        0.000    
  128   2.9078E-02   2.4463E-02   2.2799E-03   2.3290E-03    0.000        0.000        0.000        0.000    
  129   2.9006E-02   2.3955E-02   2.3898E-03   2.6560E-03    0.000        0.000        0.000        0.000    
  130   3.1252E-02   2.6038E-02   2.2985E-03   2.9086E-03    0.000        0.000        0.000        0.000    
  131   3.0608E-02   2.5827E-02   2.0424E-03   2.7334E-03    0.000        0.000        0.000        0.000    
  132   2.6265E-02   2.1375E-02   2.2715E-03   2.6105E-03    0.000        0.000        0.000        0.000    
  133   3.0396E-02   2.5179E-02   2.2774E-03   2.9332E-03    0.000        0.000        0.000        0.000    
  134   2.6858E-02   2.1827E-02   2.3781E-03   2.6464E-03    0.000        0.000        0.000        0.000    
  135   2.8808E-02   2.3602E-02   2.4544E-03   2.7440E-03    0.000        0.000        0.000        0.000    
  136   3.0705E-02   2.5635E-02   2.2402E-03   2.8226E-03    0.000        0.000        0.000        0.000    
  137   2.7412E-02   2.2279E-02   2.4091E-03   2.7171E-03    0.000        0.000        0.000        0.000    
  138   3.0104E-02   2.4852E-02   2.4928E-03   2.7517E-03    0.000        0.000        0.000        0.000    
  139   3.0809E-02   2.5755E-02   2.2914E-03   2.7552E-03    0.000        0.000        0.000        0.000    
  140   2.7648E-02   2.2722E-02   2.2436E-03   2.6744E-03    0.000        0.000        0.000        0.000    
  141   2.5705E-02   2.0577E-02   2.2644E-03   2.8575E-03    0.000        0.000        0.000        0.000    
  142   2.9989E-02   2.5039E-02   2.3107E-03   2.6316E-03    0.000        0.000        0.000        0.000    
  143   2.7156E-02   2.2202E-02   2.2181E-03   2.7293E-03    0.000        0.000        0.000        0.000    
  144   2.6169E-02   2.1172E-02   2.2878E-03   2.7023E-03    0.000        0.000        0.000        0.000    
  145   3.6367E-02   3.0528E-02   3.1937E-03   2.6382E-03    0.000        0.000        0.000        0.000    
  146   3.8455E-02   3.2212E-02   2.2781E-03   3.9591E-03    0.000        0.000        0.000        0.000    
  147   3.1750E-02   2.6787E-02   2.0859E-03   2.8717E-03    0.000        0.000        0.000        0.000    
  148   2.6486E-02   2.1381E-02   2.4958E-03   2.6011E-03    0.000        0.000        0.000        0.000    
  149   3.0692E-02   2.5664E-02   2.1917E-03   2.8310E-03    0.000        0.000        0.000        0.000    
  150   3.1441E-02   2.6594E-02   2.1296E-03   2.7115E-03    0.000        0.000        0.000        0.000    
  151   2.9669E-02   2.4634E-02   2.4134E-03   2.6154E-03    0.000        0.000        0.000        0.000    
  152   3.2107E-02   2.6214E-02   3.1520E-03   2.7328E-03    0.000        0.000        0.000        0.000    
  153   3.3705E-02   2.7629E-02   2.9327E-03   3.1357E-03    0.000        0.000        0.000        0.000    
  154   2.8950E-02   2.3882E-02   2.3468E-03   2.7145E-03    0.000        0.000        0.000        0.000    
  155   3.0679E-02   2.5170E-02   2.6352E-03   2.8666E-03    0.000        0.000        0.000        0.000    
  156   3.0448E-02   2.5328E-02   2.3056E-03   2.8066E-03    0.000        0.000        0.000        0.000    
  157   9.4082E-02   2.5068E-02   2.1667E-03   8.7519E-03   2.8636E-02    0.000        0.000       5.1076E-02
